Day,mean_return,std_deviation_return,count_negative_returns,mean_negative_return,std_deviation_negative_return,count_positive_returns,mean_positive_return,std_deviation_positive_return
Monday,0.00062,0.0342,21,-0.02548,0.03333,27,0.02092,0.01653
Tuesday,0.00397,0.02736,24,-0.01328,0.01187,28,0.01875,0.02822
Wednesday,5e-05,0.02447,24,-0.01891,0.01957,28,0.0163,0.01456
Thursday,0.0004,0.02912,27,-0.01804,0.02186,24,0.02113,0.02127
Friday,0.00106,0.02747,27,-0.01449,0.01457,22,0.02015,0.02755
