Day,mean_return,std_deviation_return,count_negative_returns,mean_negative_return,std_deviation_negative_return,count_positive_returns,mean_positive_return,std_deviation_positive_return
Monday,-0.00015,0.00807,22,-0.00617,0.0074,26,0.00494,0.00416
Tuesday,0.00082,0.00783,24,-0.0054,0.00501,28,0.00615,0.00555
Wednesday,0.00069,0.00718,19,-0.00592,0.0069,32,0.00461,0.00356
Thursday,0.00178,0.00698,19,-0.00466,0.00569,31,0.00573,0.00422
Friday,0.00236,0.00888,18,-0.00611,0.0067,33,0.00698,0.00606
