Day,mean_return,std_deviation_return,count_negative_returns,mean_negative_return,std_deviation_negative_return,count_positive_returns,mean_positive_return,std_deviation_positive_return
Monday,0.00097,0.01135,23,-0.00779,0.00561,23,0.00973,0.00853
Tuesday,0.00242,0.01107,24,-0.00714,0.00516,28,0.01062,0.00767
Wednesday,-0.00037,0.01243,31,-0.00852,0.00759,21,0.01166,0.00741
Thursday,-0.0004,0.01171,28,-0.00823,0.00705,23,0.00914,0.00882
Friday,-0.00284,0.01475,29,-0.01035,0.01446,22,0.00707,0.00749
