Day,mean_return,std_deviation_return,count_negative_returns,mean_negative_return,std_deviation_negative_return,count_positive_returns,mean_positive_return,std_deviation_positive_return
Monday,-0.00303,0.00876,27,-0.00887,0.00666,21,0.00447,0.00428
Tuesday,0.00149,0.01184,23,-0.00845,0.00894,29,0.00937,0.00689
Wednesday,0.00238,0.00974,18,-0.00775,0.00696,33,0.00791,0.0058
Thursday,0.00243,0.01092,14,-0.01089,0.01107,36,0.00761,0.00469
Friday,0.00341,0.01656,21,-0.008,0.00661,30,0.01139,0.01676
