Day,mean_return,std_deviation_return,count_negative_returns,mean_negative_return,std_deviation_negative_return,count_positive_returns,mean_positive_return,std_deviation_positive_return
Monday,0,0,0,0,0,0,0,0
Tuesday,0,0,0,0,0,0,0,0
Wednesday,0,0,0,0,0,0,0,0
Thursday,0,0,0,0,0,0,0,0
Friday,0,0,0,0,0,0,0,0
