Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-22,2016,2,22,Monday,08,2016-08,193.87,194.95,193.79,194.78,103640300,167.58,0.01447933456800965,162.74285714285716,164.05411764705883
2016-02-23,2016,2,23,Tuesday,08,2016-08,194.0,194.32,192.18,192.32,111455300,165.47,-0.012629834785360838,162.87571428571428,164.09457142857144
2016-02-24,2016,2,24,Wednesday,08,2016-08,190.63,193.53,189.32,193.2,150812200,166.22,0.004575578612245446,162.99214285714288,164.1536111111111
2016-02-25,2016,2,25,Thursday,08,2016-08,193.73,195.55,192.83,195.54,110728300,168.24,0.012111758793674543,163.2342857142857,164.26405405405407
2016-02-26,2016,2,26,Friday,08,2016-08,196.57,196.68,194.9,195.09,129833700,167.85,-0.0023009975010096495,163.67285714285714,164.35842105263157
2016-02-29,2016,2,29,Monday,09,2016-09,195.11,196.23,193.33,193.56,125918100,166.53,-0.00784279822619105,164.17285714285714,164.41410256410256
2016-03-01,2016,3,1,Tuesday,09,2016-09,195.01,198.21,194.45,198.11,141799700,170.45,0.023507033620090212,164.95214285714286,164.565
2016-03-02,2016,3,2,Wednesday,09,2016-09,197.74,199.06,197.25,199.0,102415000,171.22,0.004492968395692687,165.79642857142858,164.72731707317072
2016-03-03,2016,3,3,Thursday,09,2016-09,198.79,199.8,198.11,199.78,95172200,171.89,0.003919433228869229,166.83642857142857,164.89785714285713
2016-03-04,2016,3,4,Friday,09,2016-09,200.01,201.35,199.03,200.43,129293600,172.45,0.0032535166831280105,167.68499999999997,165.073488372093
2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000,172.58,0.0007982208196801732,168.34928571428574,165.24409090909091
2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900,170.7,-0.010917823013411154,168.6885714285714,165.36533333333333
2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200,171.54,0.004939876212576744,169.13642857142855,165.4995652173913
2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700,171.68,0.0008018905938367293,169.59999999999997,165.63106382978722
2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500,174.45,0.01613694969521906,170.09071428571428,165.81479166666665
2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000,174.23,-0.0012818430410093118,170.7164285714286,165.9865306122449
2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100,173.94,-0.0016296053407125477,171.26785714285714,166.1456
2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200,174.95,0.005787010740388121,171.74714285714285,166.18560000000002
2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500,176.06,0.0063440084064629865,172.33357142857145,166.2418
2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400,176.75,0.003930075407769351,173.0635714285714,166.35559999999998
2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700,177.0,0.001418650090512008,173.53142857142856,166.5564
2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900,176.91,-0.0005375009267257758,173.93785714285713,166.7922
2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500,175.74,-0.006599679396088187,174.21285714285713,167.00119999999998
2016-03-24,2016,3,24,Thursday,12,2016-12,202.0,203.16,201.74,203.12,84360900,175.66,-0.00044298846163526306,174.44214285714287,167.18200000000002
2016-03-28,2016,3,28,Monday,13,2016-13,203.61,203.86,202.71,203.24,62408200,175.76,0.0005910288697277277,174.6692857142857,167.44780000000003
2016-03-29,2016,3,29,Tuesday,13,2016-13,202.76,205.25,202.4,205.12,92922900,177.39,0.009250163122761723,175.14714285714285,167.69299999999998
2016-03-30,2016,3,30,Wednesday,13,2016-13,206.3,206.87,205.59,206.02,86365300,178.17,0.004387774306858994,175.62071428571429,168.0246
2016-03-31,2016,3,31,Thursday,13,2016-13,205.91,206.41,205.33,205.52,94584100,177.74,-0.0024271840502808617,176.05357142857142,168.3434
