Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-09,2016,2,9,Tuesday,06,2016-06,53.19,55.29,53.17,54.42,11605100,45.81,0.005172008732195366,48.925714285714285,48.80576923076923
2016-02-10,2016,2,10,Wednesday,06,2016-06,55.28,56.35,55.01,55.14,11663900,46.42,0.013230234998789392,48.70357142857143,48.717407407407414
2016-02-11,2016,2,11,Thursday,06,2016-06,53.89,55.39,53.55,54.92,12106100,46.23,-0.00398992296273315,48.45928571428572,48.628571428571426
2016-02-12,2016,2,12,Friday,06,2016-06,55.56,56.04,55.04,55.86,8680200,47.03,0.017116272269610988,48.35928571428571,48.57344827586207
2016-02-16,2016,2,16,Tuesday,07,2016-07,56.79,56.85,55.98,56.41,11594800,47.49,0.009845829120210814,48.23857142857143,48.537333333333336
2016-02-17,2016,2,17,Wednesday,07,2016-07,56.7,57.66,56.16,57.63,11955200,48.52,0.02162748123734337,48.25,48.53677419354839
2016-02-18,2016,2,18,Thursday,07,2016-07,57.57,57.57,56.67,56.96,8494000,47.95,-0.01162604459808636,48.121428571428574,48.5184375
2016-02-19,2016,2,19,Friday,07,2016-07,56.92,57.86,56.52,57.67,9033600,48.55,0.01246485069935055,47.94714285714286,48.51939393939394
2016-02-22,2016,2,22,Monday,08,2016-08,58.63,58.95,58.17,58.87,8390700,49.56,0.02080813426956918,47.807142857142864,48.550000000000004
2016-02-23,2016,2,23,Tuesday,08,2016-08,58.45,58.9,58.0,58.46,7064100,49.21,-0.0069646906256929375,47.672142857142866,48.56885714285715
2016-02-24,2016,2,24,Wednesday,08,2016-08,57.21,58.35,56.28,58.11,10780900,48.92,-0.005986899805330181,47.58642857142858,48.57861111111111
2016-02-25,2016,2,25,Thursday,08,2016-08,58.46,58.75,58.0,58.75,6262100,49.46,0.011013563841069107,47.614285714285714,48.60243243243243
